Subject,story,trial,total words,Words missed,in %,Coder
IN01,Ashley & psychics,1,302,53,18.0,SB
IN01,Rabbit's thesis,2,361,5,1.0,SB
IN01,Lion & mouse,3,219,31,14.0,SB
IN01,Shepherd boy & wolf,4,268,1,0.0,SB
IN01,Man vs. monkeys,5,324,0,0.0,SB
IN01,Tim's brilliant career,6,282,0,0.0,SB
IN01,Father & sons,7,189,4,2.0,SB
IN01,Cat Videos,8,291,0,0.0,SB
IN02,Cat Videos,1,291,3,1.0,SB
IN02,Father & sons,2,189,0,0.0,SB
IN02,Tim's brilliant career,3,282,1,0.0,SB
IN02,Man vs. monkeys,4,324,1,0.0,SB
IN02,Shepherd boy & wolf,5,268,4,1.0,SB
IN02,Lion & mouse,6,219,0,0.0,SB
IN02,Rabbit's thesis,7,361,0,0.0,SB
IN02,Ashley & psychics,8,302,2,1.0,SB
IN03,Man vs. monkeys,1,324,12,4.0,SB
IN03,Ashley & psychics,2,302,2,1.0,SB
IN03,Father & sons,3,189,2,1.0,SB
IN03,Rabbit's thesis,4,361,1,0.0,SB
IN03,Lion & mouse,5,219,2,1.0,SB
IN03,Cat Videos,6,291,1,0.0,SB
IN03,Tim's brilliant career,7,282,2,1.0,SB
IN03,Shepherd boy & wolf,8,268,1,0.0,SB
IN04,Shepherd boy & wolf,1,268,30,11.0,JC
IN04,Tim's brilliant career,2,282,13,5.0,JC
IN04,Cat Videos,3,291,5,2.0,JC
IN04,Lion & mouse,4,219,7,3.0,JC
IN04,Rabbit's thesis,5,361,8,2.0,JC
IN04,Father & sons,6,189,4,2.0,JC
IN04,Ashley & psychics,7,302,2,1.0,JC
IN04,Man vs. monkeys,8,324,14,4.0,JC
IN05,Lion & mouse,1,219,35,16.0,JC
IN05,Man vs. monkeys,2,324,17,5.0,JC
IN05,Shepherd boy & wolf,3,268,35,13.0,JC
IN05,Ashley & psychics,4,302,51,17.0,JC
IN05,Father & sons,5,189,7,4.0,JC
IN05,Rabbit's thesis,6,361,46,13.0,JC
IN05,Cat Videos,7,291,11,3.0,JC
IN05,Tim's brilliant career,8,282,16,6.0,JC
IN06,Tim's brilliant career,1,282,,0.0,JC
IN06,Cat Videos,2,291,,0.0,JC
IN06,Rabbit's thesis,3,361,,0.0,JC
IN06,Father & sons,4,189,,0.0,JC
IN06,Ashley & psychics,5,302,,0.0,JC
IN06,Shepherd boy & wolf,6,268,,0.0,JC
IN06,Man vs. monkeys,7,324,,0.0,JC
IN06,Lion & mouse,8,219,,0.0,JC
IN07,Rabbit's thesis,1,361,14,4.0,JC
IN07,Lion & mouse,2,219,5,2.0,JC
IN07,Man vs. monkeys,3,324,21,6.0,JC
IN07,Cat Videos,4,291,,,JC
IN07,Tim's brilliant career,5,282,5,2.0,JC
IN07,Ashley & psychics,6,302,15,5.0,JC
IN07,Shepherd boy & wolf,7,268,2,1.0,JC
IN07,Father & sons,8,189,2,1.0,JC
IN08,Father & sons,1,189,33,17.0,JC
IN08,Shepherd boy & wolf,2,268,55,21.0,JC
IN08,Ashley & psychics,3,302,43,14.0,JC
IN08,Tim's brilliant career,4,282,38,13.0,JC
IN08,Cat Videos,5,291,38,13.0,JC
IN08,Man vs. monkeys,6,324,70,22.0,JC
IN08,Lion & mouse,7,219,44,20.0,JC
IN08,Rabbit's thesis,8,361,62,17.0,JC
IN09,Tim's brilliant career,1,282,10,4.0,JC
IN09,Cat Videos,2,291,4,1.0,JC
IN09,Rabbit's thesis,3,361,1,0.0,JC
IN09,Father & sons,4,189,0,0.0,JC
IN09,Ashley & psychics,5,302,4,1.0,JC
IN09,Shepherd boy & wolf,6,268,2,1.0,JC
IN09,Man vs. monkeys,7,324,5,2.0,JC
IN09,Lion & mouse,8,219,3,1.0,JC
IN10,Father & sons,1,189,0,0.0,JC
IN10,Shepherd boy & wolf,2,268,0,0.0,JC
IN10,Ashley & psychics,3,302,4,1.0,JC
IN10,Tim's brilliant career,4,282,0,0.0,JC
IN10,Cat Videos,5,291,13,4.0,JC
IN10,Man vs. monkeys,6,324,5,2.0,JC
IN10,Lion & mouse,7,219,15,7.0,JC
IN10,Rabbit's thesis,8,361,20,6.0,JC
IN11,Ashley & psychics,1,302,6,2.0,JC
IN11,Tim's brilliant career,2,282,0,0.0,JC
IN11,Shepherd boy & wolf,3,268,5,2.0,JC
IN11,Lion & mouse,4,219,0,0.0,JC
IN11,Man vs. monkeys,5,324,0,0.0,JC
IN11,Father & sons,6,189,0,0.0,JC
IN11,Rabbit's thesis,7,361,0,0.0,JC
IN11,Cat Videos,8,291,0,0.0,JC
IN12,Cat Videos,1,291,15,5.0,JC
IN12,Rabbit's thesis,2,361,0,0.0,JC
IN12,Father & sons,3,189,0,0.0,JC
IN12,Man vs. monkeys,4,324,0,0.0,JC
IN12,Lion & mouse,5,219,0,0.0,JC
IN12,Shepherd boy & wolf,6,268,0,0.0,JC
IN12,Tim's brilliant career,7,282,0,0.0,JC
IN12,Ashley & psychics,8,302,0,0.0,JC
IN13,Man vs. monkeys,1,324,81,25.0,JC
IN13,Cat Videos,2,291,84,29.0,JC
IN13,Lion & mouse,3,219,57,26.0,JC
IN13,Rabbit's thesis,4,361,82,23.0,JC
IN13,Tim's brilliant career,5,282,76,27.0,JC
IN13,Ashley & psychics,6,302,108,36.0,JC
IN13,Shepherd boy & wolf,7,268,74,28.0,JC
IN13,Father & sons,8,189,48,25.0,JC
IN14,Father & sons,1,189,20,11.0,JC
IN14,Shepherd boy & wolf,2,268,20,7.0,JC
IN14,Ashley & psychics,3,302,11,4.0,JC
IN14,Tim's brilliant career,4,282,31,11.0,JC
IN14,Rabbit's thesis,5,361,16,4.0,JC
IN14,Lion & mouse,6,219,6,3.0,JC
IN14,Cat Videos,7,291,1,0.0,JC
IN14,Man vs. monkeys,8,324,0,0.0,JC
IN15,Lion & mouse,1,219,4,2.0,SB
IN15,Ashley & psychics,2,302,19,6.0,SB
IN15,Shepherd boy & wolf,3,268,5,2.0,SB
IN15,Cat Videos,4,291,1,0.0,SB
IN15,Father & sons,5,189,1,1.0,SB
IN15,Man vs. monkeys,6,324,6,2.0,SB
IN15,Rabbit's thesis,7,361,1,0.0,SB
IN15,Tim's brilliant career,8,282,2,1.0,SB
IN16,Lion & mouse,1,219,0,0.0,SB
IN16,Tim's brilliant career,2,282,3,1.0,SB
IN16,Rabbit's thesis,3,361,1,0.0,SB
IN16,Father & sons,4,189,0,0.0,SB
IN16,Man vs. monkeys,5,324,0,0.0,SB
IN16,Cat Videos,6,291,0,0.0,SB
IN16,Shepherd boy & wolf,7,268,0,0.0,SB
IN16,Ashley & psychics,8,302,,,SB
IN17,Man vs. monkeys,1,324,28,9.0,SB
IN17,Cat Videos,2,291,34,12.0,SB
